class,text
arrangement,"СОГЛАШЕНИЕ N 8
о расторжении трудового договора от 18.10.2010 N 15/к

г. Казань                                                                                                            15 октября 2016 г.

Общество с ограниченной ответственностью ""СтройМир"", именуемое в дальнейшем ""Работодатель"", в лице генерального директора Зуева Валерия Павловича, действующего на основании устава, с одной стороны, и менеджер по продажам ООО «СтройМир» Ивова Надежда Артемьевна, именуемая в дальнейшем ""Работник"", с другой стороны, вместе именуемые ""Стороны"", заключили настоящее соглашение о нижеследующем. 
1. Прекратить трудовой договор от 18.10.2010 N 15/к, заключенный между Работником и Работодателем, согласно п. 1 ст. 77 ТК РФ. 
2. Последним рабочим днем Работника считать 16 ноября 2016 г. 
3. Работодатель обязуется: 
3.1. Перед увольнением предоставить Работнику оплачиваемый отпуск на 28 календарных дней с 20 октября по 16 ноября 2016 г. 
3.2. 19 октября 2016 г. выплатить Работнику выходное пособие в размере одного месячного оклада. 
3.3. 19 октября 2016 г. возвратить Работнику трудовую книжку с соответствующей записью и полностью с ним рассчитаться. 
4. Работник обязуется передать все дела менеджеру отдела продаж до 20 октября 2016 г. 
5. Стороны подтверждают, что размер выходного пособия, установленный в п. 3.2 настоящего соглашения, является окончательным и не может быть изменен (дополнен). 
6. Стороны не имеют друг к другу претензий. 
7. Настоящее соглашение составлено в двух экземплярах, имеющих одинаковую юридическую силу, по одному для каждой из Сторон.

Генеральный директор ООО «СтройМир»                     Зуев                           Зуев В.П.

Менеджер по продажам ООО «СтройМир»                   Ивова                         Ивова Н.А.
"
arrangement,"Соглашение о предоставлении опциона на заключение договора купли-продажи доли в уставном капитале ООО

г. Сарапул
«17» марта 2021 года


Общество с ограниченной ответственностью «Север», именуемое в дальнейшем «Сторона 1», в лице генерального директора Мухина Ивана Ивановича, действующего на основании Устава, с одной стороны, и общество с ограниченной ответственностью «Запад», именуемый в дальнейшем «Сторона 2», в лице генерального директора Романова Петра Петровича, действующего на основании Устава, с другой стороны, вместе именуемые «Стороны», заключили настоящее соглашение о нижеследующем:

1. Предмет соглашения

1.1. Сторона 1 посредством безотзывной оферты предоставляет Стороне 2 за плату, а Сторона 2 приобретает право заключить договор купли-продажи доли в уставном капитале ООО «Гамма» путем акцепта такой оферты в порядке, в сроки и на условиях, которые предусмотрены настоящим соглашением.
1.2. Условия предоставления опциона:
1.2.1. Срок для акцепта безотзывной оферты (срок действия опциона) — 20 августа 2021 года.
1.2.2. Цена опциона — 500000 (пятьсот тысяч) рублей.
1.2.3. Форма оплаты опциона — путем перечисления денежных средств на банковский счет Стороны 1.
1.2.4. Порядок оплаты опциона — единовременно, не позднее 10 дней с даты заключения договора.
1.2.5. Предмет выкупа по опциону — право заключения со Стороной 1 договора купли-продажи доли в уставном капитале в ООО «Гамма» (далее — договор) на условиях, предусмотренных в разделе 2 настоящего соглашения.
1.2.6. Платеж по настоящему опциону не засчитывается в счет платежей по договору и не подлежит возврату в случае, когда не будет акцепта.

2. Условия договора купли-продажи доли в уставном капитале

2.1. Предмет договора — доля в уставном капитале ООО «Гамма» в размере 20 процентов уставного капитала номинальной стоимостью 3000000 (три миллиона) рублей (далее — доля).
2.2. Стоимость доли составляет 600000 (шестьсот тысяч) рублей.
2.3. Оплата доли производится путем перечисления денежных средств на банковский счет Стороны 1 не позднее 30 августа 2021 года.
2.4. Сторона 1 гарантирует, что доля будет передана свободной от любых прав третьих лиц, и данная гарантия будет действовать в течение всего срока настоящего соглашения до момента заключения договора.

3. Порядок распоряжения правом на заключение договора

3.1. Особенности выкупа опциона:
3.1.1. В случае принятия решения о заключении договора Сторона 2 направляет Стороне 1 в течение срока, предусмотренного п. 1.2.1 настоящего соглашения, акцепт в письменной форме.
3.1.2. Сторона 1 обязана заключить и подписать со Стороной 2 договор в срок, не превышающий 10 дней с момента получения акцепта.
3.2. Особенности отказа от выкупа опциона:
3.2.1. В случае если в течение срока действия опциона Сторона 2 не примет решения о заключении договора, уплаченная цена опциона не возвращается.
3.2.2. Сторона 1 обязана вернуть Стороне 2 цену опциона в случаях, когда Сторона 2 принимает решение не заключать договор вследствие неисполнения или ненадлежащего исполнения Стороной 1 своих обязательств, гарантий и заявлений.
3.2.5. Сторона 2 вправе по согласованию со Стороной 1 уступить свои права по опциону на заключение договора третьему лицу.

4. Ответственность сторон

4.1. Стороны несут ответственность за неисполнение или ненадлежащее исполнение обязанностей по настоящему соглашению в соответствии с действующим законодательством Российской Федерации.
4.2. Стороны освобождаются от ответственности в случае, если неисполнение или ненадлежащее исполнение ими своих обязательств по настоящему соглашению будет связано с обстоятельствами, не зависящими от их воли: природных явлений (землетрясений, наводнений, эпидемий), действий государственных органов, актов террора, войн и т.д.
4.3. Сторона обязана незамедлительно после наступления указанных в п. 4.2. настоящего соглашения обстоятельств уведомить другую Сторону о невозможности исполнения соглашения и подтвердить документально факт наступления указанных обстоятельств.
4.4. Неисполнение условий настоящего пункта влечет для Сторон обязанность по возмещению убытков, связанных с неисполнением условий настоящего соглашения.

5. Заключительные положения

5.1. Настоящее соглашение составлено и подписано в двух аутентичных экземплярах — по одному для каждой Стороны.
5.2. Соглашение вступает в силу с момента подписания и действует до 30 августа 2021 года.
5.3. Настоящее соглашение прекращает свое действие в том случае, если Сторона 2 не направит Стороне 1 акцепт в течение срока, предусмотренного п. 1.2.1 настоящего соглашения.
5.4. Все изменения и дополнения к настоящему соглашению оформляются дополнительными соглашениями Сторон в письменной форме, которые являются неотъемлемой частью настоящего соглашения.
5.5. Заявления, уведомления, извещения, требования или иные юридически значимые сообщения, с которыми настоящее соглашение связывает гражданско-правовые последствия для Сторон, влекут для этого лица такие последствия с момента доставки соответствующего сообщения Стороне или ее представителю.
5.6. Юридически значимые сообщения подлежат передаче путем электронной связи.
5.7. Сообщение считается доставленным и в тех случаях, если оно поступило Стороне, которой оно направлено, но по обстоятельствам, зависящим от нее, не было ей вручено или Сторона не ознакомилась с ним.
5.8. Споры и разногласия, которые могут возникнуть при исполнении настоящего соглашения, будут по возможности разрешаться путем переговоров между Сторонами.
5.9. В случае если Стороны не придут к соглашению, споры разрешаются в судебном порядке в соответствии с действующим законодательством Российской Федерации.
5.10. Во всем остальном, что не предусмотрено настоящим соглашением, Стороны руководствуются действующим законодательством Российской Федерации.

6. Реквизиты и подписи сторон

 ООО «Север»        ООО «Запад»
427960, г. Сарапул, ул. Речная, д. 98, тел. 8 (34147) 3-83-83, ИНН 1834532345, КПП 5671112223, ОГРН 9876123454321        427023, г. Сарапул, ул. Лесная, д. 112, оф. 16А, тел. 8 (34147) 2-52-52 , ИНН 5610009998, КПП 65432198765, ОГРН 98763429443524

Генеральный директор ООО «Север» Мухин / И.И. Мухин
Генеральный директор ООО «Запад» Романов / П.П. Романов
"
arrangement,"Соглашение
о реструктуризации задолженности


г. Ижевск
""17"" декабря 2020 года

ООО ""Гватемала"", именуемое в дальнейшем ""Кредитор"", в лице генерального директора Ахметова Рустама Рустамовича, действующего на основании Устава, и ООО ""Астра"", именуемое в дальнейшем ""Должник"", в лице генерального директора Сорокина Петра Петровича, действующего на основании Устава, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", подписали настоящее соглашение о реструктуризации долга к договору займа № 12 от ""13"" марта 2020 года (далее - ""Договор"") о нижеследующем:
1.        Стороны приняли решение о реструктуризации задолженности Должника перед Кредитором по договору займа № 12 от ""13"" марта 2020 года по состоянию на дату подписания данного соглашения в размере 346 513 руб., в том числе 320 000 руб. – сумма основного долга, 26 513 руб. – сумма начисленных процентов.
2.        Реструктуризация долга осуществляется путем предоставления отсрочки по уплате долга и предоставления Должником банковской гарантии ПАО ""РОСТБанк"" (далее именуемое ""Гарант"") от ""17"" декабря 2020 года на сумму 346 513 руб.
3.        Должник обязуется выплатить долг Кредитору в полном объеме до ""30"" июня 2021 года путем перевода денег на расчетный счет Кредитора.
4.        Если Должник не выплатит долг до даты, установленной в п. 3 данного документа, Кредитор отправляет в письменном виде требование к Гаранту об уплате суммы задолженности Должника в объеме согласно п. 1 данного соглашения. Кредитор направляет требование Гаранту в срок до ""30"" июля 2021 года. Погашение задолженности Должника осуществляется Гарантом в порядке и сроки, утвержденные банковской гарантией.
5.        Со дня подписания данного документа штрафные санкции за несвоевременное погашение Должником обязательств по денежному обязательству, по которому осуществляется реструктуризация, не начисляются.
6.        Во всем остальном, что не установлено настоящим соглашением, Стороны руководствуются актуальными положениями ГК РФ.
7.        Данный документ вступает в силу со дня его подписания Сторонами и актуален до полного исполнения ими своих обязательств.
8.        Соглашение составлено в двух экземплярах, имеющих равную юридическую силу, по одному для каждой Стороны.
Реквизиты Сторон:

Кредитор        Должник
ООО ""Гватемала"", 426009, г. Ижевск, ул. Колхозная, д. 45, тел. 8 (3412) 66-67-68, ИНН 1831231234, КПП 876345234, ОГРН 6784563636363        ООО ""Астра"", 426008, г. Ижевск, ул. Лесная, д. 56, оф. 12, тел. 8 (3412) 44-43-42, ИНН 5612342345, КПП 567345123, ОГРН 5673452341234


Подписи Сторон:

Кредитор: Ахметов / Р.Р. Ахметов
Должник: Сорокин / П.П. Сорокин

"
arrangement,"Дополнительное соглашение
к договору купли-продажи
от ""24"" октября 2020 года № 55


г. Петрозаводск
""2"" ноября 2020 года

Общество с ограниченной ответственностью ""Аякс"", далее именуемое ""Продавец"", в лице генерального директора Павлова Николая Николаевича, действующего на основании Устава, с одной стороны, и общество с ограниченной ответственностью ""Ультрамарин"", далее именуемое ""Покупатель"", в лице генерального директора Львова Семена Семеновича, действующего на основании Устава, с другой стороны, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", составили настоящее дополнительное соглашение (далее – Соглашение) к договору купли-продажи № 55 от ""24"" октября о нижеследующем:

1.	По согласию обеих Сторон принято решение о расторжении предварительного договора купли-продажи земельного участка № 55 от ""24"" октября 2020 года.
2.	Покупатель согласен на возврат задатка в одинарном размере в сумме 300 000 (триста тысяч) рублей и не предъявляет Продавцу требований по возврату задатка в двойном размере.
3.	Продавец обязан вернуть полученный задаток в размере 300 000 (триста тысяч) рублей в течение 5 (пяти) рабочих дней с момента подписания настоящего Соглашения.
4.	Обязательства Сторон по исполнению условий указанного Договора прекращаются с момента подписания Соглашения.
5.	Стороны по исполнению условий Договора претензий друг к другу не имеют.
6.	Данное Соглашение составлено в двух экземплярах, имеющих равную юридическую силу, по одному экземпляру для каждой из Сторон.

Реквизиты Сторон

Продавец	Покупатель
ООО ""Аякс"", 185001, г. Петрозаводск, ул. Речная, д. 98, тел. 8 (8142) 83-83-83, ИНН 1834532345, КПП 5671112223, ОГРН 9876123454321	ООО ""Ультрамарин"", 185023, г. Петрозаводск, ул. Лесная, д. 112, оф. 16А, тел. 8 (3412) 52-52-52 , ИНН 5610009998, КПП 65432198765, ОГРН 98763429443524


Подписи Сторон

Продавец: Павлов / Н.Н. Павлов
Покупатель: Львов / С.С. Львов
"
arrangement,"Соглашение
о расторжении договора об оказании услуг
от ""13"" августа 2020 года № 23


г. Сарапул
""15"" ноября 2020 года

Общество с ограниченной ответственностью ""Сириус"", далее именуемое ""Заказчик"", в лице генерального директора Грушева Сергея Сергеевича, действующего на основании Устава, с одной стороны, и общество с ограниченной ответственностью ""Альдебаран"", далее именуемое ""Исполнитель"", в лице Константинова Петра Петровича, действующего на основании Устава, с другой стороны, вместе именуемые ""Стороны"", а индивидуально - ""Сторона"", составили настоящее соглашение (далее - Соглашение) о нижеследующем:

1.        По согласию обеих Сторон принято решение расторгнуть договор об оказании консультационных услуг от ""13"" августа 2020 года № 23 (далее - Договор).
2.        Стороны произвели сверку расчетов по Договору (документ прилагается).
3.        Заказчик в течение 5 (пяти) рабочих дней с момента подписания Соглашения обязуется перечислить Исполнителю сумму в размере 30 000 (тридцать тысяч) рублей, включая НДС 20% за услуги, которые были фактически оказаны.
4.        Исполнитель в течение 2 (двух) рабочих дней с момента подписания Соглашения обязуется вернуть Заказчику документы, которые были приняты от него по Договору.
5.        Договор считается расторгнутым с момента подписания данного Соглашения.
6.        Соглашение составлено в двух экземплярах, имеющих равную юридическую силу, по одному для каждой из Сторон.

Реквизиты Сторон

Заказчик        Исполнитель
ООО ""Сириус"", 427960, г. Сарапул, ул. Партизанская, д. 12, тел. 8 (34147) 5-55-55, ИНН 1830980987, КПП 5677892345, ОГРН 4567652348763        ООО ""Альдебаран"", 426008, г. Ижевск, ул. Колхозная, д. 112, оф. 9А, тел. 8 (3412) 88-88-88, ИНН 5611112223, КПП 562233445, ОГРН 98765433456765432


Подписи Сторон

Заказчик: Грушев / С.С. Грушев
Исполнитель: Константинов / П.П. Константинов
"
arrangement,"Приложение к договору подряда № 123
от ""22"" октября 2020 года

Соглашение
об отсутствии взаимных претензий

г. Киров
""12"" ноября 2020 года

ООО ""Геркулес"", именуемое ""Заказчик"", в лице генерального директора Николаева Ивана Ивановича, действующего на основании Устава, с одной стороны, и Смирнов Петр Петрович, паспорт серия 9300, № 123456, выдан Индустриальным РОВД г. Кирова, 13 августа 2005 года, именуемый ""Исполнитель"", с другой стороны, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", заключили настоящее соглашение о нижеследующем:

1.	На момент заключения настоящего соглашения Стороны в полной мере исполнили обязательства по заключенному договору № 123 от ""22"" октября 2020 года.
2.	Смирнов Петр Петрович произвел работы по ремонту газового генератора ФАС-150 З/Р. Работы выполнены в срок и надлежащим образом.
3.	ООО ""Геркулес"" приняло работы и согласно, что они соответствуют установленным требованиям.
4.	Стороны не имеют претензий друг к другу относительно качества работ и их оплаты.

Реквизиты Сторон

Заказчик	Исполнитель
ООО ""Геркулес"", 610009, г. Киров, ул. Осиновая, д. 12, оф. 25А, тел.: 8 (8332) 56-23-22, ИНН 5612342345, КПП 23412356677, ОГРН 8765456789876	Смирнов Петр Петрович, паспорт серия 9300, № 123456, выдан Индустриальным РОВД г. Кирова, 13 августа 2005 года.
Регистрация: г. Киров, ул. Дубовая, д. 56, кв. 45


Подписи Сторон

Заказчик: Николаев / И.И. Николаев
Исполнитель: Смирнов / П.П. Смирнов
"
arrangement,"Дополнительное соглашение № 2
к трудовому договору № 315 от ""12"" октября 2019 года



г. Ижевск

""02"" ноября 2020 года

Общество с ограниченной ответственностью ""Фламинго"" (ООО ""Фламинго""), именуемое в дальнейшем ""Работодатель"", в лице генерального директора Лопаткина Сергея Сергеевича, действующего на основании Устава, с одной стороны, и бухгалтер Степанова Екатерина Петровна, именуемая в дальнейшем ""Работник"" (табельный номер – 045), с другой стороны, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", заключили дополнительное соглашение к трудовому договору № 315 от ""12"" октября 2019 года (далее – ""Трудовой договор"") о нижеследующем:

1.	По причине смены наименования Работодателя изменить в преамбуле Трудового договора ""Общество с ограниченной ответственностью ""Дирижабль"" (ООО ""Дирижабль"") на ""Общество с ограниченной ответственностью ""Фламинго"" (ООО ""Фламинго"").
2.	Изменить в разделе ""Адреса и реквизиты сторон"" Трудового договора ""Общество с ограниченной ответственностью ""Дирижабль"" (ООО ""Дирижабль"") на ""Общество с ограниченной ответственностью ""Фламинго"" (ООО ""Фламинго"").
3.	Во всем остальном, что не прописано в данном дополнительном соглашении, остаются в силу и действуют условия Трудового договора. Они обязательны для исполнения Сторонами.
4.	Данное дополнительное соглашение вступает в силу с ""03"" ноября 2020 года и является частью Трудового договора.
5.	Данное дополнительное соглашение составлено в 2 (двух) экземплярах, имеющих равную юридическую силу, по одному для Работодателя и Работника.

Реквизиты Сторон:

Работодатель	Работник
Общество с ограниченной ответственностью ""Фламинго"" (ООО ""Фламинго"")
Адрес: г. Ижевск, ул. Тисовая, д. 56Б
ИНН 5612343451, КПП 5674687345
р/с 40704567987654321234
в ПАО ""ЗБК-Банк""
к/с 30106857456723430987
БИК 077456334	Степанова Екатерина Петровна
паспорт серии 9000 № 999999 выдан Первомайским РОВД г. Ижевска 14.05.2002 г.
Адрес регистрации: 426987, г. Ижевск, ул. Сакко и Ванцетти, д. 56, кв. 90

Подписи Сторон:

Работодатель  Лопаткин / С.С. Лопаткин
Работник  Степанова / Е.П. Степанова

Экземпляр дополнительного соглашения о смене наименования организации на руки получила Степанова / Е.П. Степанова
""02"" ноября 2020 года"
arrangement,"Соглашение № 23

О расторжении договора аренды нежилого помещения № 45
от ""24"" августа 2019 года



г. Ижевск
""21"" октября 2020 года

ООО ""Альфа"", именуемое в дальнейшем ""Арендодатель"", в лице генерального директора Саратова Петра Петровича, действующего на основании Устава, и ООО ""Гамма"", именуемое в дальнейшем ""Арендатор"", в лице генерального директора Степанова Ильи Ильича, действующего на основании Устава, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", подписали настоящее соглашение к договору аренды нежилого помещения № 45 от ""24"" августа 2019 года (далее – ""Договор"") о нижеследующем:

1.        Расторгнуть Договор с даты подписания данного соглашения.
2.        Все обязательства Сторон по Договору прекращаются с момента его расторжения и возврата арендованного нежилого помещения по адресу г. Ижевск, ул. Липовая, д. 89, общей площадью 80 кв. м Арендодателю по акту приема-передачи.
3.        В акте приема-передачи необходимо указать техническое состояние нежилого помещения на момент передачи.
4.        Стороны должны подписать Акт в течение 14 календарных дней с момента подписания настоящего соглашения.
5.        Соглашение составлено в 2 (двух) экземплярах, имеющих равную юридическую силу, по одному экземпляру для каждой из Сторон.

Реквизиты Сторон:

Арендодатель        Арендатор
ООО ""Альфа"", 426009, г. Ижевск, ул. Колхозная, д. 45, тел. 8 (3412) 55-55-55, ИНН 1831231234, КПП 876345234, ОГРН 6784563636363        ООО ""Гамма"", 426008, г. Ижевск, ул. Лесная, д. 56, оф. 12, тел. 8 (3412) 44-44-44, ИНН 5612342345, КПП 567345123, ОГРН 5673452341234


Подписи Сторон:

Арендодатель: Саратов / П.П. Саратов
Арендатор: Степанов / И.И. Степанов
"
arrangement,"Дополнительное соглашение № 47
к трудовому договору № 12-ТД от ""30"" марта 2015 года

об отмене дистанционной работы

г. Киров
""10"" сентября 2020 года

Общество с ограниченной ответственностью ""Астра"" (ООО ""Астра""), именуемое в дальнейшем ""Работодатель"", в лице генерального директора Ложкина Петра Петровича, действующего на основании Устава, с одной стороны, и дизайнер Соколов Илья Ильич, именуемый в дальнейшем ""Работник"", с другой стороны, вместе именуемые ""Стороны"", заключили настоящее дополнительное соглашение к трудовому договору № 12-ТД от ""30"" марта 2015 года о нижеследующем:

1.	П. 2 трудового договора изложить в следующей редакции: ""Работник выполняет трудовую функцию по месту нахождения работодателя: г. Киров, ул. Некрасова, д. 87, оф. 11Б. Начало рабочего дня – в 8:00, окончание – в 17:00. Обеденный перерыв: с 12:00 до 13:00. Рабочие дни: понедельник, вторник, среда, четверг, пятница. Выходные дни: суббота, воскресенье"".
2.	П. 5 трудового договора изложить в следующей редакции: ""Работодатель обязан обеспечить Работника необходимым оборудованием и технической документацией для выполнения работы"".
3.	Остальные пункты трудового договора № 12-ТД от ""30"" марта 2015 года оставить неизменными.
4.	Настоящее дополнительное соглашение вступает в силу с ""16"" сентября 2020 года и является неотъемлемой частью трудового договора № 12-ТД от ""30"" марта 2015 года.
5.	Настоящее дополнительное соглашение составлено в двух экземплярах, имеющих одинаковую юридическую силу: по одному для каждой из Сторон.

Реквизиты и подписи сторон

Работодатель	Работник
ИНН 1839998887, КПП 776655448, ОГРН 9876598765432
Место нахождения: г. Киров, ул. Некрасова, д. 87, оф. 11Б.
Генеральный директор ООО ""Астра"":
П.П. Ложкин	Паспорт: 9123 565656, выдан Октябрьским РОВД гор. Кирова, 22.09.2003 года.
Место жительства: г. Киров, ул. Салтыкова-Щедрина, д. 123, кв. 11.


Работодатель: Ложкин / П.П. Ложкин
Работник: Соколов / И.И. Соколов 

Экземпляр дополнительного соглашения на руки получил:

Соколов / И.И. Соколов
Дата: ""10"" сентября 2020 года"
arrangement,"Дополнительное соглашение № 34
к трудовому договору № 56-ТД от ""12"" сентября 2017 года

об установлении неполного рабочего времени

г. Киров
""20"" августа 2020 года

Общество с ограниченной ответственностью ""Дельта"" (ООО ""Дельта""), именуемое в дальнейшем ""Работодатель"", в лице генерального директора Евгеньева Семена Семеновича, действующего на основании Устава, с одной стороны, и программист Рябов Петр Иванович, именуемый в дальнейшем ""Работник"", с другой стороны, вместе именуемые ""Стороны"", заключили настоящее дополнительное соглашение к трудовому договору № 56-ТД от ""12"" сентября 2017 года о нижеследующем:

1.	П. 4 трудового договора изложить в следующей редакции: ""Работнику устанавливается неполный рабочий день – 4 часа"". Начало рабочего дня – в 8:00, окончание – в 12:00. Рабочие дни: понедельник, вторник, среда, четверг, пятница. Выходные дни: суббота, воскресенье.
2.	П. 5 трудового договора изложить в следующей редакции: ""Для Работника утвержден месячный оклад в 30 000 (тридцать тысяч) рублей. Оплата труда начисляется пропорционально отработанному времени в соответствии с табелем учета рабочего времени"".
3.	Остальные пункты трудового договора № 56-ТД от ""12"" сентября 2017 года оставить неизменными.
4.	Настоящее дополнительное соглашение вступает в силу с ""25"" августа 2020 года и является неотъемлемой частью трудового договора № 56-ТД от ""12"" сентября 2017 года.
5.	Настоящее дополнительное соглашение составлено в двух экземплярах, имеющих одинаковую юридическую силу: по одному для каждой из Сторон.

Реквизиты и подписи сторон

Работодатель	Работник
ИНН 1831112223, КПП 3344556677, ОГРН 1987656787654
Место нахождения: г. Киров, ул. Сумарокова, д. 112, оф. 24А.
Генеральный директор:
С.С. Евгеньев	Паспорт: 9000 555555, выдан Ленинским РОВД гор. Кирова, 17.05.2005 года.
Место жительства: г. Киров, ул. Достоевского, д. 345, кв. 55.


Работодатель: Евгеньев / С.С. Евгеньев
Работник: Рябов / П.И. Рябов 

Экземпляр дополнительного соглашения на руки получил:

Рябов / П.И. Рябов
Дата: ""20"" августа 2020 года"
